prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,4096,16,128,26.496
16,4096,16,256,29.44
16,4096,16,512,36.128
16,4096,16,1024,49.6
16,4096,16,2048,75.808
16,4096,16,4096,125.6
16,4096,16,8192,197.44
16,4096,16,16384,333.664
16,4096,32,16,27.52
16,4096,32,32,28.768
16,4096,32,64,28.512
16,4096,32,128,32.16
16,4096,32,256,38.144
16,4096,32,512,48.096
16,4096,32,1024,69.76
16,4096,32,2048,109.632
16,4096,32,4096,167.136
16,4096,32,8192,303.232
16,4096,32,16384,591.394
16,4096,64,16,33.888
16,4096,64,32,33.76
16,4096,64,64,34.88
16,4096,64,128,42.656
16,4096,64,256,53.024
16,4096,64,512,70.848
16,4096,64,1024,110.528
16,4096,64,2048,168.288
16,4096,64,4096,306.175
16,4096,64,8192,583.905
16,4096,64,16384,1142.05
16,4096,128,16,45.568
16,4096,128,32,46.4
16,4096,128,64,48.192
16,4096,128,128,61.76
16,4096,128,256,79.808
16,4096,128,512,116.896
16,4096,128,1024,181.28
16,4096,128,2048,313.824
16,4096,128,4096,587.424
16,4096,128,8192,1136.8
16,4096,128,16384,2249.35
16,8192,0,0,25.792
16,8192,1,16,26.688
16,8192,1,32,25.92
16,8192,1,64,26.048
16,8192,1,128,26.048
16,8192,1,256,26.464
16,8192,1,512,26.336
16,8192,1,1024,28.192
16,8192,1,2048,28.512
16,8192,1,4096,30.016
16,8192,1,8192,35.104
16,8192,1,16384,44
16,8192,2,16,27.04
16,8192,2,32,26.432
16,8192,2,64,26.752
16,8192,2,128,26.336
16,8192,2,256,27.361
16,8192,2,512,27.456
16,8192,2,1024,28.352
16,8192,2,2048,30.368
16,8192,2,4096,34.688
16,8192,2,8192,44.16
16,8192,2,16384,64.48
16,8192,4,16,27.04
16,8192,4,32,27.264
16,8192,4,64,27.233
16,8192,4,128,27.616
16,8192,4,256,27.456
16,8192,4,512,28.544
16,8192,4,1024,34.625
16,8192,4,2048,34.88
16,8192,4,4096,55.712
16,8192,4,8192,62.209
16,8192,4,16384,123.232
16,8192,8,16,27.584
16,8192,8,32,30.784
16,8192,8,64,28.064
16,8192,8,128,27.553
16,8192,8,256,30.336
16,8192,8,512,34.24
16,8192,8,1024,35.424
16,8192,8,2048,47.04
16,8192,8,4096,73.408
16,8192,8,8192,125.473
16,8192,8,16384,228.864
16,8192,16,16,30.176
16,8192,16,32,30.753
16,8192,16,64,29.312
16,8192,16,128,32.129
16,8192,16,256,30.848
16,8192,16,512,37.12
16,8192,16,1024,50.976
16,8192,16,2048,75.008
16,8192,16,4096,126.305
16,8192,16,8192,232.129
16,8192,16,16384,369.153
16,8192,32,16,31.84
16,8192,32,32,32.224
16,8192,32,64,33.12
16,8192,32,128,36.448
16,8192,32,256,42.112
16,8192,32,512,49.76
16,8192,32,1024,71.552
16,8192,32,2048,113.312
16,8192,32,4096,195.584
16,8192,32,8192,310.016
16,8192,32,16384,591.584
16,8192,64,16,37.44
16,8192,64,32,38.112
16,8192,64,64,39.904
16,8192,64,128,46.816
16,8192,64,256,52.384
16,8192,64,512,72.16
